Initial_Weight,Final_Weight,Height,Age,Gender
137,137,62,34,female
210,209,66,35,female
176,176,71,33,female
133,119,63,30,female
184,186,64,55,female
183,177,62,59,female
154,152.5,65,54,female
128,128,62,43,female
143,143,65,32,female
140,140,62,31,female
165,159.6,67,38,female
230,213.8,70,45,male
157,162,66,24,female
150,150,65,55,female
173,173,64,23,female
238,237.4,66,24,female
130,127.5,59,23,female
136.6,141,64,34,female
185,185,67,42,female
136,135,65,26,female
234,234,70,30,female
245,239.5,70,67,male
170,165,66,55,female
222,194,67,32,female
187,187,70,43,female
230,233,68,44,female
148,144.25,62,49,female
177,177,61,39,female
167.5,167.5,66,22,female
332,332,64,64,female
243,241.6,72,44,male
160,160,63,53,female
142,142,64,30,female
216,216,64,55,female
180,176.6,68,27,female
190,188,65,28,female
185,183,66,34,female
225,230,63,32,female
140,133.8,64,37,female
200,195,69,52,female
146.5,142.6,64,32,female
288,286,63,59,female
163,163,65,49,female
166,151,60,64,female
295,283.2,64,28,female
140,140,64,29,female
119,119,63,39,female
205,205,69,62,male
250,255,59,46,female
190,190,73,39,male
142,137,64,46,female
236,205,70,63,male
195,195,63,54,female
210,205,61,19,female
171,168,65,49,female
190,190,58,31,female
162,157,64,30,female
130,130,63,18,female
262,244.8,68,49,female
185,162,64,51,female
220,219,73,36,male
213,213,64,28,female
167,164,66,29,female
199,192.6,66,30,female
162,162.5,69,26,female
136,136,62,33,female
187,187,69,21,female
164,157,67,35,male
450,472,65,39,female
260,265,71,33,male
192,187,67,46,female
136,136,67,34,female
200,194,67,26,female
370,370,65,45,female
216,204.6,72,62,male
219,219,66,50,female
203.6,210.4,68,35,female
161,153,65,32,female
285,284.8,67,58,male
179,210,65,24,female
200,202,67,47,male
193,180,64,32,female
199,200,64,46,female
160,160,60,62,female
289.3,286,72,29,male
230,230,63,35,female
181,179.5,67,27,female
238,238,68,57,male
149.6,155,67,41,female
121,121,62,28,female
170,170,69,33,male
249,249,72,37,male
139,131,68,35,female
233,191,66,41,male
259,259,68,43,male
217,217,63,35,female
210,210,67,53,female
323,317,82,39,male
215,215,64,32,female
146,137,63,20,female
290,273.5,69,57,male
191,202,65,54,female
170,170,63,49,female
171,171.8,63,52,female
148.8,145.6,63,33,female
227,227,66,48,female
173,173,67,31,female
155,155,65,48,female
199,175,67,46,female
170,168.8,67,47,female
143,140,63,47,female
250,250,72,52,female
208,206.6,68,50,female
144,144,65,45,female
200,200,68,58,female
180,180,65,45,female
193,193,67,72,female
216,209.2,70,35,male
172,167.5,66,40,female
158,158,67,24,female
298,290,67,55,female
195,194,64,38,female
245,235,70,68,male
217,217,72,48,male
189,189,65,39,female
210,209.5,65,45,female
174,174,66,53,female
135,135,68,31,female
185,170.8,67,27,male
290,274,76,37,male
322,312,66,39,female
239,241.99,73,47,male
190,190,68,40,female
195,195,67,57,male
160,160,67,17,female
118,118,62,28,female
174,174,63,52,female
264,264,67,25,female
145,145,61,31,female
213,211,71,33,male
235,235,68,22,female
210,210,68,81,female
162,163,60,42,female
265,265,66,21,female
140,140,66,25,female
250,234,66,52,female
165,163,66,60,female
266,272.8,67,64,female
180,172.64,61,65,female
180,187.5,62,32,female
335,335,64,46,female
246,246,62,46,female
201,189.4,65,66,female
154,150,64,54,female
238,224.4,66,53,female
213,213,64,44,female
268,250,70,38,male
162,162,66,27,male
274,274,64,28,female
145,145.19,65,28,female
358,342,71,47,male
228,228,65,53,female
260,260,66,47,female
136,133.2,64,24,female
153,156,62,36,female
260,260,71,20,female
155,155,68,26,female
283,277.7,66,36,female
155,164.4,62,47,female
229,229,65,44,female
222,214,70,44,male
147,147,60,56,female
151,151,64,59,female
118,114,64,61,female
226,225,62,43,female
232,232,69,56,female
188,180,66,41,female
144,144,68,33,female
120,118,62,52,female
215,214,70,42,female
138,138,66,27,female
142,142,64,40,female
342,296.3,72,59,male
190,190,67,27,male
190,190,67,27,male
140,140,63,48,female
320,320,70,32,male
188,199,64,38,female
197,197,66,43,female
304,300,65,50,female
130,130,63,51,female
184,180,64,32,female
155,144,65,28,female
201,201,67,49,female
280,210,62,44,female
215,206,74,49,male
199,192.6,61,34,female
206,206,67,43,male
135,135,63,18,female
192,192,64,34,female
165,165,64,34,female
204,201,69,69,female
170,159,66,37,male
296,284,64,30,female
165,165,71,62,female
146,143.5,62,52,female
212,207.8,72,29,male
195,129,65,45,female
183,178,67,40,female
200.98,211.2,70,39,male
289,277,75,55,male
200,200,72,29,male
228,228,64,56,female
140,138.2,67,36,female
168,170,65,47,female
308,308,63,59,female
165,138.4,67,45,female
188,170,65,27,female
126,127.4,66,40,female
145,145,63,42,female
225,220,65,38,female
145,140,61,38,female
304,289,67,56,female
178,158,68,46,female
148,148,64,49,female
215,212.4,65,41,female
192,192,65,40,female
138,136,62,30,female
191,189.5,59,24,female
250,247.6,76,60,male
187,184,68,53,female
193,193,61,32,female
133,133,59,62,female
214,206.6,63,29,female
238,238,62,37,female
185,185,67,35,female
138,138,64,39,female
157,168.7,66,32,female
176,185.9,59,32,female
185,184,69,47,female
208,186.2,65,66,male
145,145,66,29,female
158,158,59,45,female
140,140,63,34,female
181,173.3,66,33,female
224,223,67,39,female
217,179.4,71,36,male
152,150.8,68,38,female
169,155,64,36,female
158,158,69,61,female
230,226,72,48,male
193,192,69,45,female
210,210,68,42,male
149,143.5,66,31,female
170,170,61,42,female
220,224,70,32,male
258,253,62,35,female
129,126,62,46,female
152,150,57,27,female
146,144,67,43,female
262,239.5,63,37,female
155,155,65,23,female
149,149,62,16,female
173,183,65,27,female
289,273,66,28,female
225,227,63,43,female
195,195,63,49,female
165,165,67,43,female
209,209.6,65,42,female
137,137,61,32,female
170,166.4,66,52,female
261,255,71,48,male
161,151.8,60,69,female
207,212.27,62,41,female
140,145.8,63,47,female
133,135.6,63,40,female
242,225,72,46,male
165,163.5,67,48,female
179,179,66,53,female
186,175,62,59,female
215,215,72,29,male
159,157,66,38,female
180,180,66,30,female
240,235,68,52,female
154,148,59,37,female
244,236,68,42,female
155,155,65,27,female
158.8,153,66,44,female
154,154,67,59,female
262,262,65,27,female
162,151.4,64,29,female
177,177,67,32,female
219,227,64,51,female
165,165,62,60,female
184,184,63,46,female
175,160,63,29,female
130,127.4,62,40,female
175,175,60,60,female
218.6,209.6,65,44,female
161,161,64,50,female
148,148,62,28,female
190,189.5,67,58,female
200,200,69,46,female
220,220,65,45,female
185,181,65,35,female
149,148.4,65,22,female
260,260,76,29,male
179,168,68,25,female
197,197,64,40,female
153.4,151,64,52,female
235,234.5,64,35,female
245,233,71,30,female
285,287,65,26,female
141,144,66,28,female
247,247,68,27,female
257,249.8,66,32,female
230,222,69,41,male
211,197,74,41,male
143,132.4,67,39,female
304,304,65,34,female
164,154,66,45,female
193,201.7,67,48,female
119,119,60,40,female
173,173,70,36,female
205,185.6,70,46,male
165,165,67,47,female
186,186,66,29,female
130,130,61,30,female
295,295,68,41,female
137,137,66,23,female
160,155.4,60,57,female
160,160,68,29,female
178,179,65,34,female
160,148.5,69,34,female
150,150,65,22,female
197,197,69,22,female
212,212,67,44,female
178,176,70,67,male
145,145,70,51,female
204,181,71,44,female
211,197.4,66,34,female
143,153.4,66,32,female
225,224,69,42,male
155,153,66,27,female
150,134,65,52,female
198,198,68,26,female
131,131,64,38,female
172,156,66,37,female
141,125.2,64,31,female
177,177,67,27,male
155,155,66,60,female
120,120,60,25,female
119,119,64,38,female
139,148,62,27,female
128,127,64,48,female
250,238,67,34,female
299,296,69,38,female
203,203,65,44,female
120,120,66,26,female
145,145,66,22,female
237,237,71,36,female
209,209,69,26,female
165,165,65,40,female
197,192,71,30,female
139,140.2,60,34,female
270,258,64,64,female
219,222,62,60,female
190,190,67,26,female
187,187,63,51,female
227,210,73,62,male
200,207,62,40,female
201,200,67,51,female
230,144,66,34,female
140,136,63,35,female
147,144,66,34,female
168,168,65,59,female
150,150,62,35,female
154,154,69,26,female
255,252,75,70,male
195,195,68,28,female
137,135.4,67,43,female
189,192.8,72,32,male
274,264,66,51,female
205,166.6,65,34,female
190,177,66,56,female
265,258.2,64,54,female
188,183,64,42,female
121.8,121,63,22,female
159,159,67,45,female
176,171.4,68,48,female
152,150,64,24,female
236,218,70,30,female
192,187,67,36,female
235,235,72,27,male
184,179.2,70,20,female
208,208,66,25,female
130,129.5,61,37,female
172,169,70,23,female
152,154.2,63,25,female
241,239,72,36,male
125,125,69,22,female
190,175,65,34,female
144,141.8,63,57,female
244,240,76,35,male
285,282,75,42,male
214.5,186,72,32,male
217,212,65,44,female
156,154,64,47,female
192,192,71,33,male
158,158,63,67,female
150,143,66,27,female
229,225,67,47,female
174,162.5,63,43,female
198,198,62,67,female
156,156,64,45,female
138,138,65,57,female
225,225,70,30,male
169,166,69,50,female
240,240.6,73,68,male
141,135.4,63,59,female
216,208,69,46,male
171,171,64,35,male
285,285,65,42,female
184,184,68,49,female
169,165,63,30,female
220,220,66,37,female
135,133,62,25,female
184,184,69,38,female
107,108.2,59,35,female
217,214.8,64,48,female
159,159,62,61,female
190,190,68,48,female
155,150.2,65,34,female
225,225,67,66,female
135,129,61,28,female
130,130,61,40,female
125,132,64,28,female
164,149,64,26,female
120,122,63,49,female
213,212,70,57,male
156,150.4,64,54,female
163,161.5,66,29,female
155,155,63,56,female
200,200,65,47,female
198,201,66,33,female
230,230,73,28,male
291,283.1,64,47,female
135,135,68,35,female
175,172,61,32,female
235,235,61,51,female
186,183.5,66,39,female
242,242,67,37,female
305,307,69,30,female
125,119,62,28,female
156,156,60,60,female
208,208.4,75,48,male
265,260,64,31,female
267,267,67,40,female
213,206,68,63,female
160,142,68,32,female
235,235,69,41,female
148,148,64,42,female
194,189.4,67,27,female
225,264,71,61,male
203,196,69,40,female
217,225,69,24,female
154,154,64,28,female
190,187,67,44,female
183,183,64,54,female
180,180,68,61,female
205,191.8,68,33,female
242,246.2,65,47,female
167.64,180.62,66,33,female
280,276.2,68,22,female
257,257,72,58,female
170,165,66,34,female
190,181,66,33,female
122,122,67,35,female
155,153,63,31,female
220,218.2,65,49,female
141,127.5,68,24,female
247,235,69,47,male
312,312,77,34,male
255,249,61,37,female
282,276,70,55,female
127,132,63,32,female
128,126.6,64,44,female
97,95,59,37,female
223,210.6,66,34,male
200,200,68,53,female
252,252,73,43,male
203,203,67,55,female
148,150,61,57,female
187,187,68,41,female
148,142,61,57,female
191,191,63,47,female
230,230,72,22,female
160,157,71,31,female
226,226,68,37,female
173,173,64,61,female
127,132,59,35,female
142,142,66,52,female
204,184.8,68,36,female
191,190.8,62,48,female
225,216.5,70,40,female
202,202,70,43,male
125,125,60,43,female
175,175,66,20,male
166,165,65,34,female
165,165,64,23,female
142,140,63,45,female
140,141.2,62,27,female
185,197,69,34,male
220,220,66,59,female
225,216,61,66,female
185,177.1,64,48,female
146,141,65,38,female
275.2,270,62,42,female
137,143.6,70,24,male
239,238.6,66,30,female
270,262,75,44,male
162,163,65,32,female
180,176.5,65,40,female
163,162,64,52,female
290,307,70,39,female
198,199.08,65,41,female
198,192.4,69,31,female
247,242,72,43,male
138,120,59,31,female
151,158,63,30,female
223,228.4,64,42,female
214,206,66,27,female
180,178.8,64,35,female
168,161.6,63,37,female
198,189.6,64,18,female
175,173,63,54,female
144,144,62,30,female
178,168,68,53,female
138,128.4,64,41,female
184,179,62,30,female
157,157,68,44,female
190,190,65,56,female
178,174.6,68,40,female
142,142,68,25,female
269,269,72,63,male
237,184.4,69,31,male
189,170.9,66,36,male
239,228,64,32,female
229,231.5,72,52,female
195,195,68,35,female
170,170,62,39,female
237,237,73,73,male
163,156,64,40,female
215,215,65,43,female
161,154,68,49,female
207,206,66,25,male
145,140,60,57,female
161,161,67,36,female
135,135,62,59,female
173,173,66,48,female
191,191,67,64,female
395,395,70,57,female
187,166.4,63,32,female
180.5,180.5,68,46,male
146,146,69,32,female
157,157,62,31,female
141.2,141.2,65,19,female
150,150,62,21,female
194,201,68,37,female
234,234,65,52,female
399,399,67,36,female
215,215,72,33,male
177,176.6,65,22,female
133,133,63,51,female
183,183,65,62,female
203,203,63,39,female
193,211,66,66,male
214,197.2,75,33,male
242.69,242.69,75,38,male
259,259,65,39,female
220,201.4,66,40,female
259,245,63,49,female
210,210,71,41,male
203,199,70,55,male
254,247.2,69,52,female
142,142,62,28,female
310,255,69,64,female
147,147,61,52,female
200,200,63,58,female
145,141.6,65,23,female
200,183,64,30,female
193,193,65,32,female
215,219.5,70,23,male
211,211,65,43,female
212,212,65,44,female
222,235,64,38,female
154,160.4,63,34,female
200,198.5,68,48,female
177,177.32,63,30,female
142,142,65,32,female
218,213.5,67,50,male
185,177.4,63,33,female
138,138,65,32,female
170,170,63,32,female
133,136,59,41,female
183,185.6,64,48,female
219,219,77,40,male
121,121,66,33,female
219,207,73,31,male
145,143.1,62,29,female
156,155.6,63,37,female
165,165,66,32,male
137,137,61,62,female
150,149,66,48,female
137,137.6,64,65,female
182,177,65,57,female
124,130,67,21,female
217,202.5,66,33,male
175,173,67,17,female
135,135,67,35,female
190,187,66,39,female
217,217,65,37,female
185,178,59,40,female
149,149,69,41,female
276,271,68,36,female
223,223,72,41,female
209,209,59,41,female
362,362,68,37,female
196,193,61,41,female
238,240.5,65,29,female
235,235,64,29,female
248,248,62,42,female
145,145,60,53,female
243,283,70,29,female
192.2,187,61,57,female
171,171,66,42,female
152,150.4,64,54,female
157,157,67,63,female
174,180.2,64,32,female
170,170,64,38,female
215,215,61,47,female
180,180,62,27,female
204,204,64,23,female
194,178,64,61,female
170,170,63,55,female
200,200,69,47,female
208,210,66,46,female
180,180,62,42,female
326,326,67,43,female
285,282,66,40,female
257,214.8,67,51,female
155,149.2,63,48,female
186,179.5,69,46,male
241,230,71,51,male
291,291,71,58,male
210,191,70,33,female
200,204,70,39,female
202,195.6,69,33,female
181,177,65,29,female
148,148,63,17,female
197,197,62,37,female
150,150,62,43,female
250,250,65,41,female
315,315,71,47,male
228,228,63,40,female
154,160,62,42,female
161,157,61,44,female
193,190,66,44,female
153.4,151.5,66,35,female
128,123,63,45,female
161,165,64,44,female
188,188,67,25,female
155,155,65,34,female
148.6,146.2,61,29,female
180,184,62,31,female
156,156,66,25,female
155,151.8,64,46,female
155,138.2,65,59,female
254,254,64,43,female
206,206,73,61,male
204,189,64,55,female
230,210,66,44,female
205,205,64,60,female
142,126.5,69,30,female
190,190,66,35,female
221,221,71,20,male
289,274.6,65,58,female
167,167,61,54,female
224.62,233,69,67,male
165,165,66,31,female
149.8,148.2,62,49,female
151,151,64,43,female
192,193,61,55,female
273,270.6,69,28,female
284,267.8,65,37,female
259,259,67,55,female
174,164,62,47,female
165,176,65,33,female
161,155.9,66,41,female
220,220,65,37,female
208,208,65,31,female
221,212,63,43,female
230,230,72,27,male
214,214,65,40,female
265,265,69,37,male
145,145,75,22,male
168,158,72,44,female
145,145,63,32,female
200,193,70,25,female
160,155,66,40,female
234,249.4,67,38,female
170,166,68,20,female
202,200,64,36,female
147,147,64,43,female
217,203,64,42,female
175,171,67,51,female
136,136,64,24,female
222,215,72,52,male
226,215,71,41,male
172,169.5,69,30,female
177,177,64,26,female
220,210,64,44,female
176,153.5,67,29,female
167,167,62,43,female
255,245.3,70,62,male
140,140,61,60,female
170,170,70,47,male
180,179.2,69,56,female
146.5,144,67,44,female
140,140,61,41,female
185,181,70,52,male
140.8,139.6,62,25,female
203,203,63,30,female
165,165,66,48,female
195,196,70,49,female
143,122.3,60,24,female
269,273,65,30,female
160,149.4,67,64,male
218,208,63,42,female
192,202,70,28,male
129,120,64,54,female
166,175,65,53,female
173,202,65,34,female
238,238,71,50,male
182,181.5,66,29,female
210,204.4,64,28,female
214,209,68,45,female
140,140,66,26,female
132,129.85,65,29,female
208,205,70,69,male
153,154.8,69,20,male
162,169.8,63,37,female
98,98,59,32,female
202,200.6,70,41,male
214,125,66,67,female
188,188,68,39,female
131,127.4,62,29,female
340,339,61,61,female
189,189,70,31,male
197,197,63,44,female
221,221,63,46,female
270,270,71,40,male
242,242,63,41,female
155,155,65,26,female
225,216,72,30,male
184,183,66,58,female
275,273.5,62,40,female
195,185,66,54,female
409,386.6,67,43,male
139,133.8,60,44,female
143,140.5,67,29,female
270,270,63,41,female
206,206,68,31,female
182.6,166.6,65,35,female
123,120,63,32,female
170,170,71,41,female
229,180,68,40,female
197,197,68,42,female
185,185,68,30,male
135,135,64,24,female
165,165,65,64,female
167,167,63,64,female
113,107.4,59,47,female
220,220,64,47,female
171,171,66,25,female
157,151.5,66,61,female
153,153,64,35,female
153,153,61,33,female
215,215,65,24,female
137,134.2,69,37,female
113,113,64,40,female
212,202.2,62,45,female
166.4,164,62,31,female
196,196,69,26,female
155,155,66,32,female
150,150,62,33,female
188,182.6,69,33,male
255,255,62,25,female
180,171.4,67,62,female
230,219.5,66,51,female
231,197,75,39,male
220,208.2,65,47,female
202,202,68,23,female
128,130,63,37,female
297,297,66,44,female
265,265,73,67,male
132,132,65,52,female
200,200,69,49,male
215,215,65,33,female
346,346,69,32,female
155,151.4,63,40,female
163,163,62,54,female
248,248,66,46,female
188,188,70,37,male
189,189,61,36,female
232,216.9,65,31,female
174.63,167.65,69,29,female
185,185,70,45,male
230,230,65,25,female
192,188,64,59,female
220,211.4,63,25,female
281,281,64,39,female
240,234,70,43,female
228,219,71,56,male
150,150,65,29,female
200,193,66,37,female
182,191.6,66,21,female
227,224,68,23,female
160,155,66,67,female
159,159,66,20,female
222,214,74,54,male
212,212,69,18,female
180,180,64,52,female
221,220,65,41,female
342,325.4,68,75,female
135,135,66,28,female
180,180,67,20,male
210,210,61,40,female
132,140,64,24,female
220,222,73,49,male
219.54,196.99,62,54,female
238,236,67,24,female
200,200,64,33,female
225,221,65,48,female
169,152.5,63,60,female
252,252,73,43,male
146,138,63,53,female
145,145,65,24,female
219,185,72,36,male
37,37,48,2,female
209,190.5,68,39,male
185,192,66,61,female
192,192,65,25,female
182,192,68,26,male
265,262,66,62,female
300,298,65,35,female
125,118,61,59,female
142,142,69,25,female
250,250,64,33,female
155,150.6,64,22,female
221,221,69,40,male
200,200,63,73,female
226,216,66,40,female
190,190,70,57,male
211,211,67,48,female
161,163.8,69,32,female
345,352.2,64,42,female
263,263,60,63,female
153,152,63,22,female
202,201.2,72,62,male
224,227.2,68,40,female
164,163,59,30,female
190,190,63,63,female
238,234,67,60,female
127,141.4,67,30,female
170,170,62,56,female
364,364,75,36,male
275,266.5,64,52,female
216,216,74,39,male
125,125,63,42,female
248,248,71,44,male
182,182,68,35,male
185,179,70,67,male
165,165,64,26,female
160,160,66,53,female
278,275.5,67,45,female
138,138,67,19,female
145,145.5,63,36,female
185,182.4,70,47,male
137,137,60,32,female
217.9,171.7,64,50,female
218,213.2,62,48,female
229.42,230,69,51,male
290,278,63,53,female
170,160,64,34,female
160,163,64,47,female
260,260,69,39,female
151,148.8,66,36,female
209,209,68,31,male
173,150.6,66,29,female
260,260,73,26,male
195,185,68,32,female
189,189,65,35,female
141,140,65,35,female
163,163,65,57,female
164,164,66,48,female
185,185,65,55,female
257,257,73,43,male
215,215,63,21,female
179,179,62,50,female
185,192,69,32,female
195,195,67,28,female
174,155,62,43,female
208,208,60,36,female
136,126.5,65,36,female
143,144,63,36,female
248,248,64,41,female
171,168,63,38,female
169,169,70,26,male
250,254.4,70,59,male
140,129.73,62,27,female
210,208,70,36,female
153,153,72,37,female
197,163.6,64,51,female
287,282,68,42,female
289,292.5,65,49,female
202,201.5,62,53,female
316,316,77,34,male
241,241,66,31,female
205,196.2,61,31,female
179,190,69,51,female
195,195,66,47,female
292,292,64,47,female
135,135,64,27,female
207,204,67,23,female
197,197,63,50,female
168,150,66,43,female
900,900,48,109,male
195,195,65,41,female
260,260,68,52,female
179,163.6,59,41,female
200,200,63,45,female
296,301,65,36,female
170,164.91,65,33,female
230,230,65,79,female
185,154,64,36,female
130.73,122.24,64,25,female
178,169,66,45,female
204,189,64,52,female
238,240,68,41,female
165,165,65,41,female
144,144,60,41,female
203,195,64,27,female
230,230,66,50,female
165,157,64,30,female
208,208,66,49,male
206,206,73,38,male
221,212,64,30,female
176,176,61,31,female
265,265,65,31,female
240,238.2,65,32,female
164,159.6,64,38,female
136,139.4,65,63,female
155,155,62,26,female
290,279.4,70,33,female
220,220,69,42,female
195,195,66,39,male
267,278,67,36,female
170,171,64,37,female
156,153,65,28,female
262,248.2,68,40,female
186.6,186.6,70,27,female
190,190,67,28,female
305,311.2,73,63,male
170,170,67,27,female
142,137.8,65,31,female
158,158,68,30,male
130,130,61,56,female
197,197,70,56,male
194,180,69,36,female
191,192,71,51,male
120,118.2,62,27,female
235,235,65,57,female
177,177,65,60,female
167,167,62,58,female
193,193,66,64,female
182,182,68,35,female
130,130,60,67,female
139,138.8,63,34,female
164,164,65,48,female
195,195,62,71,female
232,229.5,64,37,female
208,212,71,46,male
180,180.7,61,61,female
240,240,74,37,male
192,192,64,22,female
237.6,237.6,70,40,male
205,205,70,29,male
210,160,67,45,female
185,182.9,65,39,female
52,52,48,5,female
148,149.2,65,49,female
126,126,62,30,female
228,228,67,50,male
227,218,66,68,male
138,138,68,41,female
205,194,68,63,female
170,170,67,20,male
232,224.75,67,37,male
157,141.1,68,27,female
164,164,64,34,female
210,222,66,44,male
291,291,62,37,female
187,166.2,61,47,female
375,362,74,56,male
235,235,62,53,female
173,173,66,35,male
150,150,61,57,female
360,335.4,72,42,male
147,142,65,29,female
224,205.6,66,57,female
154,152.6,64,32,female
181,179,68,46,female
197,196,60,71,female
287,183,69,57,female
160,160,65,18,female
120,130,63,47,female
116,115.2,63,27,female
221,221,64,56,female
203,203,65,33,female
147,147,62,53,female
248,248,61,38,female
155,151.4,64,42,female
190,190,67,53,female
150,147.5,62,21,female
175,175,65,38,female
181,165,69,34,female
220,224.5,66,40,female
142,142,64,33,female
185,185,63,23,female
150,150,65,39,female
178,178,71,45,male
256,258,70,45,male
179,179,66,55,female
321,316,64,52,female
146,146.3,65,26,female
126,126,62,34,female
138,138,64,58,female
192,192,64,60,female
151,139.5,63,31,female
142,142,62,43,female
178,178,65,44,female
168,152.6,63,38,female
200,200,65,61,female
184,187,69,34,male
210,201,70,31,male
202,180.4,65,46,female
324,330,72,44,female
142,142,61,44,female
188,288,62,47,female
116,116,65,35,female
154,154,65,45,female
142,142,68,44,female
212,231.6,66,49,male
130,130,61,36,female
253,230,69,27,female
144,148.6,65,29,female
150,149.8,66,30,female
150,150,64,54,female
146,140.6,65,25,female
190,190,69,34,male
201,201,64,56,female
147,155,65,40,female
172,170.5,65,45,female
322,322,67,37,female
158,158,65,58,female
135,135,64,19,female
120,119,63,27,female
150,150,62,23,female
177,174.6,67,50,female
247,247,69,51,female
165,165,60,57,female
220,220,63,46,female
125,125,64,33,female
150,150,65,50,female
310,310,71,23,female
227,219.8,64,23,female
225,172,63,55,female
162,161.2,66,26,female
165,165,71,48,male
229,224,63,51,female
273,273,66,30,female
228,230,68,20,female
156,159,62,34,female
233,233,60,56,female
315,315,70,38,female
130,127.6,62,33,female
190,190,65,46,female
130,129.4,64,36,female
172,165,71,39,male
192,192,72,37,female
219,219,64,48,female
150,150,67,32,female
275,275,63,57,female
166,165.5,65,38,female
125,125,67,42,female
250,250,70,62,male
228,227,67,32,female
325,325,73,66,male
262,252,65,43,female
179,185,65,31,female
155,142,64,40,female
228,228,67,59,female
233,250,68,46,female
136,136,65,54,female
230,223.4,66,28,female
205,205,60,52,female
188,188,64,39,female
190,190,61,58,female
237,232,73,40,male
209.7,213,73,30,male
240,230.8,66,56,female
174.2,167.8,62,28,female
210,212,67,44,female
313,309,69,46,male
340,330,66,30,female
209,207.2,71,26,male
206,198.5,70,32,male
140,132,66,63,female
226,226,69,46,male
196,196,64,24,female
173,165.8,64,23,female
240,240,72,48,male
225,225,74,45,male
172,172,62,29,female
164.4,162,64,32,female
223,216,67,41,male
195,188,65,29,female
167,172.6,70,45,female
268,268,70,32,female
195,195,67,27,female
186,181.5,63,59,female
137,137,65,48,female
142,142,66,39,female
151.8,150,65,30,female
170,170,69,40,female
333,332,66,65,female
175.5,173,66,30,female
328,328,72,51,male
107,107,62,36,female
300,307,66,26,female
188.76,194.7,66,26,male
175,175,66,45,female
165,154.5,68,26,male
180,180,67,52,female
198,198,65,27,female
207,207,66,30,female
213,207.2,67,18,female
242,242,68,31,female
212,212,65,33,female
183,182.4,64,38,female
174,167,68,52,female
209,206,64,58,female
154,132,64,57,female
177,177,67,64,female
180,180,68,35,female
192.2,192.2,68,58,female
312,312,63,44,female
185,177,66,39,female
195,195,69,28,female
195,195,70,27,female
236,236,68,39,female
140,138.4,63,37,female
170,170,64,54,female
186,208,65,34,female
273,266,65,39,female
188,180,70,40,male
155,155,63,55,female
