GPA,HSGPA,SATV,SATM,Male,HU,SS,FirstGen,White,CollegeBound
2.58,3.7,520,650,1,7,13,0,1,1
2.89,3.79,640,670,1,13,0,0,1,1
3.3,3.32,620,600,0,22,6,0,1,1
3.15,3.32,650,620,0,8,13,0,1,1
2.88,3.1,700,500,0,19.5,4.5,0,1,1
3.43,3.71,680,650,0,15,9,0,1,1
3.68,3.73,660,590,0,19,7,0,1,1
3.03,3.66,640,680,0,11.5,11.5,0,1,1
3.46,3.6,590,630,1,16,6,1,1,0
3.49,3.53,590,750,1,7,14,0,0,1
3.34,3.76,510,650,0,15,4,0,0,1
3.5,3.95,690,590,0,9,14,0,1,0
2.97,3.39,540,600,0,40,12,0,1,0
3.06,3.2,590,590,0,15,0,0,1,1
2.64,2.75,520,630,0,13,6,0,0,1
3.24,3.54,710,720,1,4,9,0,1,1
3.38,3.5,650,620,0,17,4,0,1,1
2.67,3.2,520,510,0,12,9,0,0,1
3.31,3.33,580,670,1,15,10,0,1,1
3.74,4,580,690,0,23,6,0,1,1
2.93,3.47,560,630,0,16,11,0,1,1
3.53,3.65,590,560,1,21,10,0,1,1
3.11,3.94,610,690,1,28,0,0,1,1
3.07,3.72,700,720,0,9.5,13.5,0,1,1
3.26,3.01,670,680,1,14,10,0,1,1
3.22,3.92,550,570,0,6,4,1,1,0
2.89,3.19,610,580,1,19,9,0,1,1
3.19,3.1,620,460,1,24,6,0,1,1
3.32,3.6,710,640,0,17,6,0,0,1
3.66,3.78,720,630,1,26,0,0,1,1
2.95,3.59,630,630,1,12,3,0,1,1
2.82,3.8,740,720,1,14,3,0,1,1
3.67,3.07,520,560,0,17,9,0,1,1
3.67,4,690,750,0,17,6,0,1,0
2.19,2.88,680,740,1,7,9,0,0,1
3.32,3.87,660,590,0,13,6,0,1,1
3.48,3.81,530,720,1,9,13,1,1,1
2.87,2.76,570,710,1,10,13,0,1,1
3.57,3.06,680,690,1,14,3,0,1,1
3.65,3.94,730,640,0,12,6,0,1,1
2.85,3.94,650,640,1,10,0,0,1,1
3.21,2.97,480,590,0,20,4,0,1,1
2.35,2.99,650,600,1,0,10,0,0,1
2.4,2.76,400,580,1,3,18,0,0,1
2.52,3.19,580,650,1,5,13,0,1,1
3.57,3.62,670,700,1,25,7,0,1,1
2.03,2.53,500,560,0,5,6,0,0,1
2.97,3.09,570,590,1,0,19,1,0,1
2.9,3.94,630,670,1,4,6,0,0,1
2.42,3.92,620,700,1,8,3,0,1,0
3.33,3.7,610,660,0,16,7,0,1,1
3.77,3.84,620,670,0,19,3,0,1,1
3.33,3.79,620,580,0,9,0,0,1,1
3.37,3.16,550,670,1,14,10,0,0,1
2.68,3.75,530,660,0,14,3,0,1,1
3.33,3.25,620,670,1,19,3,0,1,1
3.75,3.24,690,580,1,12,7,0,1,1
3.68,3.1,640,680,1,11,3,0,1,1
2.16,2.64,510,650,1,10,7,0,1,1
2.53,3,670,740,0,13,0,0,1,1
3.23,3.86,550,510,0,8,14,0,1,0
3.4,3.99,710,610,0,26,0,0,1,1
2.59,3.58,600,490,0,15,21,0,1,1
3.79,4,610,640,1,13,9,0,1,1
3.52,3.22,610,670,1,14,17,0,1,1
3.1,3.04,620,590,1,9,13,0,1,0
3.34,3.36,610,680,0,10.5,5.5,0,1,1
2.74,3.02,600,550,0,17,6,0,1,1
3.14,2.85,490,530,0,15,7,0,1,1
2.29,3.49,500,600,0,6,7,0,1,1
3.16,3.58,630,620,1,26,3,0,1,1
3.06,3.46,650,600,1,6.7,7,0,1,1
2.74,3.45,610,700,0,9,0,1,1,1
2.63,3,620,550,0,16,7,0,1,1
3.06,3.35,590,580,0,9,4,1,1,1
3.97,3.75,480,550,0,7,13,0,1,0
2.68,3.76,580,630,1,24,10,0,1,1
3.58,3.88,590,540,0,13,15,0,1,1
3.56,3.16,580,700,1,9,11,0,1,1
2.63,3.14,400,430,0,7,6,1,0,1
1.97,2.61,430,560,0,14,0,0,0,1
3.66,3.4,590,690,1,17,6,0,1,1
3.51,3.64,700,760,1,16,3,0,1,1
3.07,3.38,720,750,1,15,0,0,1,0
3.2,3.75,540,520,0,7,13,0,0,1
2.58,2.83,630,730,1,17,3,0,1,1
1.93,3.01,590,650,1,0,4,0,0,1
3.51,3.12,470,530,1,33,11,0,1,1
2.75,3.5,650,710,0,14,15,1,1,1
3.06,3.12,560,730,1,10,11,0,1,1
2.91,3.85,530,500,0,12,6,0,1,1
2.56,3.52,690,740,1,15,0,0,0,1
2.6,3.31,630,680,1,5,3,0,1,1
2.41,3.11,370,440,0,12,6,1,0,1
2.5,2.34,710,710,1,9,3,0,1,1
2.95,2.85,670,580,0,5.5,9,0,1,1
2.74,3.8,710,710,0,26,13,0,0,0
2.83,3.1,570,620,0,11,6,0,1,1
3.2,3.28,570,480,0,20,3,0,1,1
3.63,3.62,600,630,1,10,3,0,1,1
2.46,3.07,660,570,0,16,0,0,1,1
3,2.94,430,520,1,8,14,0,0,1
3.52,3.65,610,550,0,15,6,0,1,1
3.11,3.67,540,670,1,22,0,0,1,1
2.76,2.9,730,620,1,12,10,0,1,1
3.37,4,620,660,1,12,6,0,0,1
2.56,3.96,620,680,0,0,3,0,1,1
2.38,3.7,260,580,1,6,6,0,0,1
3.69,3.04,710,690,1,13,12,0,1,1
2.1,3.65,400,480,1,3,6,1,0,1
3.12,3.25,650,640,0,10,3,0,1,1
2.24,2.67,420,540,0,3,0,1,0,1
2.23,2.7,550,600,0,5,4,0,1,1
3.72,3.87,690,750,1,7,0,0,1,1
3.68,4,640,700,0,13,10,0,0,1
3.67,3.53,690,720,0,17,0,0,1,1
2.52,2.76,560,620,0,7,4,0,1,1
3.33,3.45,600,650,1,19,6,1,1,1
3.31,3.54,680,660,1,17,0,0,1,1
3.13,3.41,700,690,1,10,19,0,1,1
2.88,3.58,680,740,0,20,3,0,0,1
2.65,3.15,590,750,1,8.5,8.5,0,1,1
2.97,3.09,670,630,0,12,4,0,1,1
2.62,2.91,610,710,1,7,3,0,1,1
